case,taxes,beds,baths,new,price,size,train
1,3104,4,2,0,279.9,2048,0
2,1173,2,1,0,146.5,912,1
3,3076,4,2,0,237.7,1654,1
4,1608,3,2,0,200.0,2068,1
5,1454,3,3,0,159.9,1477,1
6,2997,3,2,1,499.9,3153,1
7,4054,3,2,0,265.5,1355,1
8,3002,3,2,1,289.9,2075,1
9,6627,5,4,0,587.0,3990,1
10,320,3,2,0,70.0,1160,1
11,630,3,2,0,64.5,1220,1
12,1780,3,2,0,167.0,1690,1
13,1630,3,2,0,114.6,1380,0
14,1530,3,2,0,103.0,1590,1
15,930,3,1,0,101.0,1050,1
16,590,2,1,0,70.0,770,1
17,1050,3,2,0,85.0,1410,1
18,20,3,1,0,22.5,1060,1
19,870,2,2,0,90.0,1300,1
20,1320,3,2,0,133.0,1500,1
21,1350,2,1,0,90.5,820,1
22,5616,4,3,1,577.5,3949,1
23,680,2,1,0,142.5,1170,0
24,1840,3,2,0,160.0,1500,1
25,3680,4,2,0,240.0,2790,0
26,1660,3,1,0,87.0,1030,0
27,1620,3,2,0,118.6,1250,1
28,3100,3,2,0,140.0,1760,1
29,2070,2,3,0,148.0,1550,1
30,830,3,2,0,69.0,1120,1
31,2260,4,2,0,176.0,2000,1
32,1760,3,1,0,86.5,1350,1
33,2750,3,2,1,180.0,1840,1
34,2020,4,2,0,179.0,2510,1
35,4900,3,3,1,338.0,3110,1
36,1180,4,2,0,130.0,1760,0
37,2150,3,2,0,163.0,1710,1
38,1600,2,1,0,125.0,1110,1
39,1970,3,2,0,100.0,1360,1
40,2060,3,1,0,100.0,1250,1
41,1980,3,1,0,100.0,1250,1
42,1510,3,2,0,146.5,1480,1
43,1710,3,2,0,144.9,1520,1
44,1590,3,2,0,183.0,2020,0
45,1230,3,2,0,69.9,1010,1
46,1510,2,2,0,60.0,1640,1
47,1450,2,2,0,127.0,940,1
48,970,3,2,0,86.0,1580,1
49,150,2,2,0,50.0,860,0
50,1470,3,2,0,137.0,1420,1
51,1850,3,2,0,121.3,1270,1
52,820,2,1,0,81.0,980,1
53,2050,4,2,0,188.0,2300,1
54,710,3,2,0,85.0,1430,1
55,1280,3,2,0,137.0,1380,1
56,1360,3,2,0,145.0,1240,1
57,830,3,2,0,69.0,1120,0
58,800,3,2,0,109.3,1120,0
59,1220,3,2,0,131.5,1900,1
60,3360,4,3,0,200.0,2430,0
61,210,3,2,0,81.9,1080,1
62,380,2,1,0,91.2,1350,1
63,1920,4,3,0,124.5,1720,1
64,4350,3,3,0,225.0,4050,0
65,1510,3,2,0,136.5,1500,1
66,4154,3,3,0,381.0,2581,1
67,1976,3,2,1,250.0,2120,1
68,3605,3,3,1,354.9,2745,1
69,1400,3,2,0,140.0,1520,0
70,790,2,2,0,89.9,1280,1
71,1210,3,2,0,137.0,1620,1
72,1550,3,2,0,103.0,1520,1
73,2800,3,2,0,183.0,2030,1
74,2560,3,2,0,140.0,1390,1
75,1390,4,2,0,160.0,1880,1
76,5443,3,2,0,434.0,2891,0
77,2850,2,1,0,130.0,1340,1
78,2230,2,2,0,123.0,940,1
79,20,2,1,0,21.0,580,0
80,1510,4,2,0,85.0,1410,1
81,710,3,2,0,69.9,1150,1
82,1540,3,2,0,125.0,1380,1
83,1780,3,2,1,162.6,1470,0
84,2920,2,2,1,156.9,1590,1
85,1710,3,2,1,105.9,1200,1
86,1880,3,2,0,167.5,1920,1
87,1680,3,2,0,151.8,2150,1
88,3690,5,3,0,118.3,2200,1
89,900,2,2,0,94.3,860,1
90,560,3,1,0,93.9,1230,1
91,2040,4,2,0,165.0,1140,0
92,4390,4,3,1,285.0,2650,0
93,690,3,1,0,45.0,1060,1
94,2100,3,2,0,124.9,1770,1
95,2880,4,2,0,147.0,1860,0
96,990,2,2,0,176.0,1060,0
97,3030,3,2,0,196.5,1730,1
98,1580,3,2,0,132.2,1370,1
99,1770,3,2,0,88.4,1560,1
100,1430,3,2,0,127.2,1340,1
